region,zone,name,distance_km,price,is_active
Melbourne,Northern Suburbs,Fawkner,18.75,60.00,True
Melbourne,Northern Suburbs,Glenroy,13.18,60.00,True
Melbourne,Northern Suburbs,Greenvale,14.64,60.00,True
Melbourne,Northern Suburbs,Kingsbury,27.44,70.00,True
Melbourne,Northern Suburbs,Lalor,24.13,65.00,True
Melbourne,Northern Suburbs,Meadow Heights,17.64,60.00,True
Melbourne,Northern Suburbs,Mernda,37.23,95.00,True
Melbourne,Northern Suburbs,Mill Park,28.05,88.00,True
Melbourne,Northern Suburbs,Oak Park,14.37,60.00,True
Melbourne,Northern Suburbs,Pascoe Vale,17.61,60.00,True
Melbourne,Northern Suburbs,Roxburgh Park,21.56,70.00,True
Melbourne,Northern Suburbs,South Morang,32.77,90.00,True
Melbourne,Northern Suburbs,Thomastown,21.43,65.00,True
Melbourne,Regional,Geelong,85.44,165.00,True
Melbourne,Regional,Mornington,96.33,155.00,True
Melbourne,South-East,Bangholme,69.66,135.00,True
Melbourne,South-East,Beaumaris,50.24,115.00,True
Melbourne,South-East,Bentleigh,46.36,100.00,True
Melbourne,South-East,Bentleigh East,50.72,100.00,True
Melbourne,South-East,Black Rock,47.76,115.00,True
Melbourne,South-East,Carnegie,43.42,95.00,True
Melbourne,South-East,Cheltenham,47.33,95.00,True
Melbourne,South-East,Clayton,49.37,110.00,True
Melbourne,South-East,Dandenong,62.03,108.00,True
Melbourne,South-East,Dingley Village,56.61,110.00,True
Melbourne,South-East,Frankston,81.60,115.00,True
Melbourne,South-East,Heatherton,52.50,100.00,True
Melbourne,South-East,Huntingdale,48.02,115.00,True
Melbourne,South-East,Keysborough,64.33,130.00,True
Melbourne,South-East,Knox,61.67,105.00,True
Melbourne,South-East,Lysterfield,63.56,130.00,True
Melbourne,South-East,McKinnon,42.85,95.00,True
Melbourne,South-East,Mentone,55.81,110.00,True
Melbourne,South-East,Moorabbin,52.54,95.00,True
Melbourne,South-East,Mordialloc,58.31,115.00,True
Melbourne,South-East,Mulgrave,52.58,120.00,True
Melbourne,South-East,Murrumbeena,48.01,90.00,True
Melbourne,South-East,Noble Park,61.95,130.00,True
Melbourne,South-East,Oakleigh East,48.17,110.00,True
Melbourne,South-East,Oakleigh South,49.76,115.00,True
Melbourne,South-East,Ormond,44.74,95.00,True
Melbourne,South-East,Parkdale,56.70,110.00,True
Melbourne,South-East,Rowville,58.07,130.00,True
Melbourne,South-East,Sandringham,45.33,110.00,True
Melbourne,South-East,Springvale,55.96,105.00,True
Melbourne,South-East,Springvale South,58.82,130.00,True
Melbourne,South-East,Wheelers Hill,53.35,125.00,True
Melbourne,Western Suburbs,Albanvale,18.26,60.00,True
Melbourne,Western Suburbs,Altona,34.96,82.00,True
Melbourne,Western Suburbs,Avondale Heights,14.77,60.00,True
Melbourne,Western Suburbs,Caroline Springs,21.20,75.00,True
Melbourne,Western Suburbs,Deer Park,20.32,65.00,True
Melbourne,Western Suburbs,Derrimut,22.83,65.00,True
Melbourne,Western Suburbs,Footscray,21.05,78.00,True
Melbourne,Western Suburbs,Hillside,21.61,60.00,True
Melbourne,Western Suburbs,Hoppers Crossing,42.63,92.00,True
Melbourne,Western Suburbs,Kings Park,17.40,60.00,True
Melbourne,Western Suburbs,Laverton,33.27,85.00,True
Melbourne,Western Suburbs,Manor Lakes,50.84,130.00,True
Melbourne,Western Suburbs,Maribyrnong,19.03,60.00,True
Melbourne,Western Suburbs,Melton South,46.62,100.00,True
Melbourne,Western Suburbs,Point Cook,37.29,90.00,True
Melbourne,Western Suburbs,St Albans,14.92,60.00,True
Melbourne,Western Suburbs,Sunshine,17.86,60.00,True
Melbourne,Western Suburbs,Sunshine North,15.62,60.00,True
Melbourne,Western Suburbs,Sunshine West,19.85,60.00,True
Melbourne,Western Suburbs,Tarneit,36.50,90.00,True
Melbourne,Western Suburbs,Taylors Hill,19.90,60.00,True
Melbourne,Western Suburbs,Taylors Lakes,16.02,60.00,True
Melbourne,Western Suburbs,Truganina,27.94,85.00,True
Melbourne,Western Suburbs,Werribee,43.12,92.00,True
Melbourne,Western Suburbs,Williams Landing,36.05,85.00,True
Melbourne,Western Suburbs,Williamstown,36.02,82.00,True
Melbourne,Western Suburbs,Wyndham Vale,47.63,115.00,True
